ft	n.s	ns.rt	n.v	seed	ve.fr	ve.mu	ve.sd	sd0.p0	sd0.p1	sd1.p0	sd1.p1	sd2.p0	sd2.p1	sd3.p0	sd3.p1	sd4.p0	sd4.p1	sd5.p0	sd5.p1	sd6.p0	sd6.p1
tck	100	3	512	NL	0.05	0	1	0.0109828192868355	0.00168163336742366	0.0106796157265235	0.00162852279928405	0.0139409926173732	0.00165481156394132	0.0122808109725629	0.00142630158294432	0.00741348267411657	0.00449202471533006	0.00800894398391883	0.006717457700947	0.00951274455965334	0.00702911015037433
tck	100	3	512	NL	0.05	0	1	0.0179007812123815	0.00319823224485383	0.0192344115534115	0.00312704888466198	0.022540306190302	0.00276986054976947	0.0387033590205874	0.00291201754533921	0.0885969338239345	0.00308003672550816	0.0645042522890257	0.00257191845221838	0.0736951776014287	0.00231362475015662
tck	100	3	512	NL	0.05	0	1	0.000416215114090623	0.0151400775529027	0.000417487286073492	0.016268200239703	0.000569866480255365	0.0152102967708019	0.000899311089615717	0.0197759318025374	0.00165045098121008	0.0340461742938443	0.00358617509029968	0.0319194816060051	0.0050265819849975	0.0266714487356097
tck	100	3	512	NL	0.05	0	1	0.0134158212370759	0.00115462246012521	0.0149862554525186	0.00089450916085021	0.0164360023192132	0.000810440063067741	0.0142524119141103	0.000858175079425205	0.0234863351125882	0.000620991862176123	0.0425630454581413	0.000502238474969219	0.0455849768514962	0.000526049163318776
tck	100	3	512	NL	0.05	0	1	0.00595987835633072	0.00024777407115617	0.00637842363276198	0.000243639019785524	0.0069340465855855	0.000294541027646478	0.00842277242586598	0.000479323034180079	0.00753014866688395	0.00100120647919755	0.00894667293815576	0.00211586151332988	0.00847901923343664	0.00227299540254999
tck	100	3	512	NL	0.05	0	1	0.0225224647593555	0.000427931669978565	0.0229585563717642	0.00042914879930378	0.026136512859195	0.000394812579562198	0.0279323432723158	0.000344822670740985	0.0302937543567605	0.000452699030798809	0.0417765080261689	0.000586229049176934	0.0504975542623762	0.000751627856811599
tck	100	3	512	NL	0.05	0	1	0.00404177956865104	0.00487787629266845	0.00365112460928207	0.00461006693039379	0.00418934962817807	0.00461267203038718	0.00539580774555448	0.00433564268461817	0.00580369150944693	0.00148655079755422	0.00893803568272888	0.00123764635774737	0.0118063787863308	0.00127538324183585
tck	100	3	512	NL	0.05	0	1	0.0144410361935978	0.000805011843576842	0.014369070238556	0.000807730836127285	0.0151708933402456	0.000731454311504676	0.012436523709888	0.000942740725573099	0.0122213050480764	0.00357968466943137	0.00929386871457705	0.00665718752926292	0.0104114743353132	0.00934792037045429
tck	100	3	512	NL	0.05	0	1	0.000588413270727117	0.054864486544258	0.000598751243710227	0.05097338315693	0.00060244030417933	0.0594000610996178	0.00155217964317267	0.0593389351897431	0.00220499223618076	0.0656448580922911	0.00275269965285618	0.0553902625591599	0.00301865726801209	0.0491593400036857
tck	100	3	512	NL	0.05	0	1	0.00221788696826841	0.0190810731691562	0.002231675177643	0.018686374026669	0.00203891687400348	0.0173751975186198	0.00217192828955781	0.0171287977924526	0.0035508888417084	0.0163031542635728	0.00600013156165424	0.0218068551697548	0.00884883539721404	0.0256392270736674
tck	100	3	512	NL	0.05	0	1	0.023337909146687	0.00911453133221607	0.0231344976707557	0.00826615478145509	0.0252294440932389	0.0114426241506883	0.034469870003231	0.0123040047733499	0.0485170117032998	0.0138901446760588	0.0377645216164181	0.0241906564050623	0.0408263484962814	0.0349042279305291
tck	100	3	512	NL	0.05	0	1	0.0222465722495806	0.000863430014639066	0.0242842069781383	0.000840254959690201	0.0304246500424503	0.000837450502403136	0.0357541434886315	0.000998134321782973	0.0219210220825792	0.00226959413660288	0.0134746774338813	0.00343010424218404	0.0113071233349906	0.00336437427421798
tck	100	3	512	NL	0.05	0	1	0.0175945872937696	0.00159643734649073	0.0197084744470352	0.00147438407331757	0.023256065384739	0.00188097033463963	0.0243401029512809	0.00611052430632286	0.0219730727102674	0.0130051417027568	0.0225480218359934	0.0136338671286439	0.0225389022327276	0.0151890694404805
tck	100	3	512	NL	0.05	0	1	0.0143785414722577	0.0109444098975867	0.0141093578909527	0.0111942692273126	0.0141386581521317	0.012928121963751	0.0189065576211045	0.021278634268816	0.0424473555889491	0.0551566888444781	0.0464169518036095	0.0908151507308206	0.0442857809680605	0.0849189632720916
tck	100	3	512	NL	0.05	0	1	0.0540317900227051	0.00488171984945085	0.0524586154249516	0.00419774221476255	0.0512236459631233	0.00570187828384294	0.0607540566914646	0.00655742495767464	0.0926867035125879	0.0126752865118439	0.0823510871140568	0.0208738825574769	0.077433889967913	0.0313838670733964
tck	100	3	512	NL	0.05	0	1	0.00228952126940163	0.00235461933086478	0.00219498095786297	0.00238784409552806	0.0017759919371696	0.00243811620923218	0.0015664089566898	0.00305293972826037	0.00213884591216162	0.00146733240412367	0.00298985047852662	0.00145434802561251	0.0044499203196372	0.00122527863976707
