"ft" "n.s" "ns.rt" "n.v" "seed" "ve.fr" "ve.mu" "ve.sd" "e0.p0" "e0.p1" "e1.p0" "e1.p1" "e2.p0" "e2.p1" "e3.p0" "e3.p1" "e4.p0" "e4.p1" "e5.p0" "e5.p1" "e6.p0" "e6.p1" "e7.p0" "e7.p1"
"34" "tck" 100 3 512 "NL" 0.05 0 1 0.278270572504407 0.00388659526160529 0.188025203241297 0.00390184549311401 0.34874974298074 0.000768834334231472 0.405353159361595 0.000988649847384893 0.372996542117594 0.0012653401999041 0.32096445673354 0.00963286471038338 0.561248488204795 0.00114277457258094 0.456009981399444 0.000762440948089749
"35" "tck" 100 3 512 "NL" 0.05 0 1 0.764762415805667 0.949205451653555 0.763320368377643 0.9594297048425 0.745099209541734 0.966678475197681 0.752134278116804 0.942523490908996 0.715497175242922 0.97451390391595 0.488329814768802 0.972409051201321 0.301691253502003 0.953663319716243 0.857771775332922 0.924310709607038
"36" "tck" 100 3 512 "NL" 0.05 0 1 0.190663321875167 0.0175402035869401 0.157619721786326 0.0100166434555423 0.203672564162941 0.0127906773330422 0.19149603866686 0.0155567849635265 0.206970876449706 0.0182185876552297 0.277268216080687 0.0178938997424342 0.198084454962629 0.0261647640095934 0.175070635716389 0.0397367914294215
"37" "tck" 100 3 512 "NL" 0.05 0 1 0.205282235275418 0.0259105524709926 0.303047857248186 0.00934569339084179 0.215361453252966 0.0160210421139879 0.276946042330976 0.00457730202080475 0.328707639798191 0.00213615102885589 0.365473753260007 0.00058510411955337 0.149784535511231 0.0139602751777508 0.263609008007122 0.184558336657714
"38" "tck" 100 3 512 "NL" 0.05 0 1 0.211942505766925 0.183961913338584 0.21663661241323 0.157212485621114 0.246973434633326 0.127375142442774 0.217801104039606 0.166278417661997 0.179874420125447 0.143171739683862 0.139648871994074 0.120394425950006 0.166680024837963 0.261316712927419 0.019338728093775 0.0911833248761723
"39" "tck" 100 3 512 "NL" 0.05 0 1 0.573667033135545 0.133928732290821 0.734918405092081 0.156600833202377 0.568476832863702 0.147706766266132 0.667604771309093 0.219912592747143 0.455767156248977 0.2611528878192 0.505332669398347 0.219924841876892 0.520583486225084 0.443228026230445 0.14555672099142 0.216745310318905
"40" "tck" 100 3 512 "NL" 0.05 0 1 0.153706038943247 0.735309048263113 0.101433053194516 0.779080565639152 0.139777316527754 0.816566703032816 0.12970987394703 0.772759437497053 0.0882306797021691 0.745688045168299 0.198387997820021 0.51157426416621 0.165840278968698 0.957391313401825 0.0748710640444399 0.920692817257549
"41" "tck" 100 3 512 "NL" 0.05 0 1 0.0484661255830061 0.353917036200427 0.0483606119296474 0.350543843626375 0.0617826589343113 0.347728922481644 0.0475140695948905 0.375221847889521 0.0694992458964434 0.249486884711569 0.0680891543264484 0.305395720150131 0.0436979234504518 0.417037683764496 0.178957600285277 0.894097513446998
"42" "tck" 100 3 512 "NL" 0.05 0 1 0.407461608006066 0.0172917702121438 0.427671804897372 0.0430866257170246 0.453668904238935 0.0240193944066542 0.523711472120239 0.0255416590755999 0.437137215145792 0.0353130351713494 0.590027696266382 0.0414217959683324 0.515456213699626 0.0561110944231906 0.336363788509719 0.0162905498752531
"43" "tck" 100 3 512 "NL" 0.05 0 1 0.608283750663574 0.0302968180049793 0.59392090326679 0.0325928799067676 0.628141093787966 0.0315228001239761 0.594309873104099 0.0181061379051204 0.588780889477427 0.0139167513688869 0.629414491385825 0.012933831930072 0.500840668640215 0.013917614842606 0.643196187399471 0.0719598477427258
"44" "tck" 100 3 512 "NL" 0.05 0 1 0.176902789310993 0.0041385059459822 0.145437353676625 0.00491047342325335 0.204251486340316 0.00486385211214868 0.249792420816461 0.00396084350987613 0.340604595508447 0.00176114970660746 0.398566767997147 0.00287539807587822 0.142244687255871 0.0247000073487567 0.0724097560476665 0.115194618045698
